영상 ID,군집 번호
-bMep32lHVI,1
-cEBuwF9QEA,2
-ico5LMydG0,2
-lfmxcb0lI4,2
06UG3NwL5IA,2
0jnnkY57EKc,2
0Q8F5HrEWw8,2
1az_TSb6kU0,1
1jp9qgJ7_3M,2
1Pa41IXWVM0,2
1pQGh1Hes5Y,2
1t_c_OlVET0,2
2JMhyB7IJDQ,2
3-Mebc8ixpY,1
3wJWgqaIO9o,2
4-S2mNio9jQ,1
46oTRe7RFVM,1
4EGG7ZBhk5c,1
4HvF0Okbzko,2
4mLCCC1cbqM,2
5t-B2uSuPq4,1
75TMHmzzSwo,2
78jVhTmbsrg,2
7ABLKBZ2hhk,1
7cvJL7R9o7o,2
7hnlrjv5CWY,2
7kLqaEI2s3Y,2
7uCuDHVN890,1
8Cvj3NFZ7qo,2
8dM44QiNnnU,2
8rokp8QkD9M,2
9MgCme2wGCs,2
9vzijwGnxAU,2
9_UYbCpSL6w,1
aCIunBf8BZM,1
aHp9I0HHIjo,2
AhZQf8t8HDA,1
arrjjGob-vI,2
aSBZU3RQSQM,2
b2VOjKk7Ei0,1
B509G_7TWNM,2
BAK8HD_IcrQ,2
BQTx3mf32Fg,1
c5Ee06m8Uhs,2
C9D84LQ2Mac,2
CAQMKSWpFfs,2
cExWz20vsME,2
CHPQh1E1b00,1
cmdZq7Pu9MU,1
d6vfqIn4YMc,2
DhwH2vV6Nr0,1
dlXQe6-izJU,2
dRsOAM8SMs8,1
DW6R70iDuOQ,2
DX5yEEVc0BQ,1
DZgEk-0BujQ,2
D_Ormkk3Flw,2
E3nwEbM2MZ0,2
E7Z2kPZpHng,2
eDp_cu0N1sM,1
ER96qU0wd1A,1
F0iwPnwFzDk,2
F4T4vkMX4kk,1
F78BIWesVmw,1
FdgxKopDbhs,2
FEbBvP2mdsg,2
Ffcc1Pl3a4c,2
fzNkz5m8WFM,1
g281SsZxDj8,2
G4gQHtUymb4,2
gaJ7ETD-KiU,2
gDiiKV9Q1Zc,2
Gh8vjAvShxA,2
gMG23c0qAFc,0
GSa7Qwzyuqo,0
gvdRggnw4uM,2
GvoAXAUUxQI,2
GyXP9lg9Fz0,1
G_Uq1AgNeQI,1
h4dQYLCwjtQ,2
h4H_f9yMn4Y,1
hAhYp2WI8vw,2
hGHN2f7HJtk,1
hNBvD9GWyYs,2
HpiUwCsBsWs,2
hPvwXDx83Ho,1
HYcdcIKOBnA,2
I-sCOO8JFOo,2
I0fQqXXj5RU,2
i0t_CY5U6T4,1
iBUwDe_s-aQ,2
IEWfT43_REY,1
iOYhtN_FSNQ,2
jAbs5OZdEnc,2
jcb5aau5WxY,1
jJ1N433tEEY,2
jTCFIBl6WD0,2
k3LrNFczuV0,2
KaUTuMCoiQM,2
kCfWbhzDbrM,2
keA_tjTn2RU,1
kgfeh4ri06I,2
kkppXbAFPuc,2
kkxdYLZxadY,1
Kr3VAlXR07k,1
ku6dsSz9kGk,2
KXp4k84pRfA,2
l0Xo8DTJPsE,2
LhmFopvUr44,1
LI1Qbcx-8iU,0
lpGwpU8ATC8,2
Lt42BNFd0S0,1
M3nwYCMWK0w,1
NakCZODK7E8,1
NFIcHrojncg,2
NodtbOFZJYA,2
NWbrdLM4sH8,1
N_bD6--VjSU,0
oHcF4iAmEdY,2
OjFMo6oYyDk,2
OlcDPtIRUss,2
OqhKCiqj-K0,2
oY5xtlJtitg,2
OYL6ax5X_yk,1
PBwfOoNpiN8,1
pe0lSFOXNPQ,1
pHsRXTnyh90,1
PhZEPwlb5TI,2
pIpeUkIFRWk,2
pRfuLWPvU68,1
PznQBIFSino,1
QjfUtrwFJmM,1
Qpel38rTo1w,2
qV42Tc3iBo8,1
Qwx4Vnnk6GM,1
qzQLtDiGzZI,2
r-Tr4_5kMwA,1
r4LKOiGV1xg,2
rfS4CbbjSmM,2
rNX5Wg20TE4,1
R_VTAPI3yjo,2
S1NnYe2wjvA,2
SCHJwaynvKs,1
T4VQX0kkImI,1
T5sNu7wuoQw,1
tBIW52vBMkw,1
tIuTFVR8bWY,2
tkl1jT597DU,2
Tkzw3TFX0sM,2
TXcwSkUKaIQ,1
UBo9Zf-6N58,2
Ug1yN2c8k9I,1
uGIWwhI79HE,1
un0HUccp3E0,2
uPwr9d2z5cc,2
UvHomEJY4gU,2
v1vSuJYYHf0,2
v4lAdkQGIAs,2
vBnaVko4AVU,2
vhbeYodV6Ng,2
vStelgqUjxs,1
VxQOAgIz3Jc,2
W50DJ4UOo3E,1
w8VcBPDNKjw,2
WbhnGFoW0nY,1
wCvjv7iMqjE,2
WD4WT34oJ3Q,1
wF7O72urgK0,2
WFB2gMBBnNo,2
WhgeTCXhQOE,1
WljH6JM920s,2
WM3Ulg8f0pE,2
wt8YtLQvDZQ,2
Wwrd0ytQV5E,1
WxDBPx_XFdM,2
xAguBIBln7Q,1
XasZPS7nZdM,2
xBoG3jnT5SY,1
xkxHIF9Jwec,1
XWYYg8aRcFY,1
Y68VR7Y_Wms,2
Y92NWM90d24,1
yBULTA0ex_8,2
yxv986VoeI0,1
YY2fRFxb3V0,2
zgEc87VUfl4,2
zlGjk4m5_nc,1
ZlhKD30J--k,1
zmxvvFgZtY0,2
zT7fVNAz4dc,1
ZTHF99x_GuA,2
zWT22wWvNUY,2
_CybRXVZw3c,1
_JgcIumrk-8,2
_kA0MzdINGM,1
_KeakVUjsUk,2
_uU063rSt_0,1
